Date,Amount,Transaction Id,Transaction type,Transaction details,Balance*
25-Oct-17,-$3.70,0,Test,Test,$16.10
25-Oct-17,-$3.50,0,Test,Test,$19.80
24-Oct-17,-$3.70,0,Test,Test,$23.30
24-Oct-17,-$3.70,0,Test,Test,$27.00
23-Oct-17,-$200.00,0,Test,Test,$30.70
23-Oct-17,-$31.95,0,Test,Test,$230.70
23-Oct-17,-$6.70,0,Test,Test,$262.65
23-Oct-17,$200.00,0,Test,Test,$275.80
23-Oct-17,-$6.45,0,Test,Test,$269.35
20-Oct-17,-$25.90,0,Test,Test,$75.80
20-Oct-17,-$4.50,0,Test,Test,$115.60
20-Oct-17,-$13.90,0,Test,Test,$101.70
20-Oct-17,-$4.00,0,Test,Test,$120.10
19-Oct-17,-$7.00,0,Test,Test,$124.10
19-Oct-17,-$4.20,0,Test,Test,$131.10
19-Oct-17,-$4.15,0,Test,Test,$135.30
18-Oct-17,-$700.00,0,Test,Test,$139.45
18-Oct-17,-$150.00,0,Test,Test,$839.45
18-Oct-17,-$57.09,0,Test,Test,$989.45
18-Oct-17,-$37.00,0,Test,Test,"$1,046.54"
18-Oct-17,$170.00,0,Test,Test,"$1,087.69"
18-Oct-17,$907.09,0,Test,Test,$917.69
18-Oct-17,-$4.15,0,Test,Test,"$1,083.54"
17-Oct-17,-$3.70,0,Test,Test,$14.75
17-Oct-17,-$4.15,0,Test,Test,$10.60
16-Oct-17,-$90.00,0,Test,Test,$18.45
16-Oct-17,-$70.00,0,Test,Test,$108.45
16-Oct-17,-$7.00,0,Test,Test,$195.85
16-Oct-17,-$3.70,0,Test,Test,$202.85
16-Oct-17,$30.00,0,Test,Test,$210.05
16-Oct-17,$40.00,0,Test,Test,$180.05
16-Oct-17,$90.00,0,Test,Test,$140.05
16-Oct-17,-$9.00,0,Test,Test,$178.45
16-Oct-17,-$8.40,0,Test,Test,$187.45
16-Oct-17,-$3.50,0,Test,Test,$206.55
12-Oct-17,-$31.95,0,Test,Test,$101.80
12-Oct-17,-$11.70,0,Test,Test,$133.75
12-Oct-17,-$51.75,0,Test,Test,$50.05
11-Oct-17,-$14.60,0,Test,Test,$145.45
11-Oct-17,-$4.20,0,Test,Test,$160.05
11-Oct-17,$70.00,0,Test,Test,$168.40
11-Oct-17,-$4.15,0,Test,Test,$164.25
10-Oct-17,-$13.40,0,Test,Test,$98.40
10-Oct-17,-$9.10,0,Test,Test,$111.80
9-Oct-17,-$100.00,0,Test,Test,$120.90
9-Oct-17,-$9.50,0,Test,Test,$220.90
9-Oct-17,-$2.90,0,Test,Test,$238.50
9-Oct-17,-$8.10,0,Test,Test,$230.40
6-Oct-17,-$11.60,0,Test,Test,$241.40
6-Oct-17,-$5.00,0,Test,Test,$253.00
6-Oct-17,$100.00,0,Test,Test,$262.00
6-Oct-17,-$4.00,0,Test,Test,$258.00
5-Oct-17,-$8.00,0,Test,Test,$175.50
5-Oct-17,-$13.50,0,Test,Test,$162.00
5-Oct-17,-$5.00,0,Test,Test,$183.50
4-Oct-17,-$500.00,0,Test,Test,$188.50
4-Oct-17,-$150.00,0,Test,Test,$688.50
4-Oct-17,-$36.80,0,Test,Test,$838.50
4-Oct-17,-$27.35,0,Test,Test,$875.30
4-Oct-17,-$3.70,0,Test,Test,$902.65
4-Oct-17,$170.00,0,Test,Test,$906.35
4-Oct-17,$650.00,0,Test,Test,$736.35
3-Oct-17,-$15.50,0,Test,Test,$86.35
2-Oct-17,-$40.00,0,Test,Test,$101.85
29-Sep-17,-$4.15,0,Test,Test,$141.85
28-Sep-17,-$4.15,0,Test,Test,$146.00
27-Sep-17,-$19.65,0,Test,Test,$150.15
27-Sep-17,-$4.00,0,Test,Test,$169.80
27-Sep-17,$150.00,0,Test,Test,$177.30
27-Sep-17,-$3.50,0,Test,Test,$173.80
26-Sep-17,-$4.00,0,Test,Test,$27.30
26-Sep-17,-$3.50,0,Test,Test,$31.30
25-Sep-17,-$80.00,0,Test,Test,$34.80
25-Sep-17,-$50.00,0,Test,Test,$114.80
25-Sep-17,-$50.00,0,Test,Test,$164.80
25-Sep-17,-$20.00,0,Test,Test,$214.80
25-Sep-17,-$2.00,0,Test,Test,$239.40
25-Sep-17,$50.00,0,Test,Test,$241.40
25-Sep-17,$80.00,0,Test,Test,$191.40
25-Sep-17,-$4.60,0,Test,Test,$234.80
22-Sep-17,-$17.50,0,Test,Test,$111.40
21-Sep-17,-$12.00,0,Test,Test,$128.90
21-Sep-17,-$4.00,0,Test,Test,$140.90
21-Sep-17,-$3.50,0,Test,Test,$148.90
20-Sep-17,-$50.00,0,Test,Test,$152.40
20-Sep-17,-$13.90,0,Test,Test,$202.40
20-Sep-17,-$3.70,0,Test,Test,$216.30
20-Sep-17,$50.00,0,Test,Test,$223.50
20-Sep-17,$160.40,0,Test,Test,$173.50
21-Sep-17,-$4.00,0,Test,Test,$144.90
20-Sep-17,-$3.50,0,Test,Test,$220.00
19-Sep-17,-$37.65,0,Test,Test,$13.10
19-Sep-17,$24.65,0,Test,Test,$50.75
18-Sep-17,-$40.76,0,Test,Test,$26.10
18-Sep-17,-$13.90,0,Test,Test,$66.86
18-Sep-17,-$7.60,0,Test,Test,$92.42
18-Sep-17,-$6.18,0,Test,Test,$100.02
18-Sep-17,-$3.80,0,Test,Test,$106.20
18-Sep-17,-$11.66,0,Test,Test,$80.76
15-Sep-17,-$40.00,0,Test,Test,$113.50
